alarm_dc	alarm_live	alrm_glob	alarm_n	alarm1	alarm2	alarm3
1	1	1	1	1	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	1	1	1	1	0
1	1	1	1	1	1	1
1	1	1	1	1	1	1
1	1	1	1	1	1	1
0	0	0	0	0	0	0
0	0	0	0	0	0	0
0	1	0	0	0	0	0
1	1	1	1	1	1	1
1	0	1	1	1	1	1
0	0	0	0	1	1	1
0	0	0	0	0	0	0
1	1	1	1	1	0	0
1	1	1	1	1	1	1
0	1	0	0	0	0	0
1	1	1	1	1	0	0
0	0	0	0	0	0	0
1	1	1	1	1	0	0
0	0	0	0	1	0	0
1	1	1	0	1	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	1	1	1	1	1
1	1	1	1	1	1	1
1	0	0	0	1	1	1
0	1	1	1	1	1	1
0	0	0	0	1	1	1
1	0	0	0	1	1	1
1	1	1	1	1	1	1
1	0	0	0	1	1	1
0	0	0	0	1	0	0
0	0	0	0	0	0	0
0	0	0	0	0	0	0
1	1	1	1	1	1	1
1	1	1	1	1	0	0
1	1	1	1	1	1	1
0	0	0	0	1	1	0
