"x","y","xt","yt","p","r","f","np"
"tmed","hr",48.1916666666667,335.125,0.75,0.166666666666667,0.272727272727273,4
"tmed","rain",68.3344696969697,0.2,0.833333333333333,0.277777777777778,0.416666666666667,6
"tmed","wind",0,0,0,0,0,0
"tmed","rad",0,0,0,0,0,0
"hr","rain",292.3125,25.9,0.75,0.166666666666667,0.272727272727273,4
"hr","wind",331.25,3.2,0.8,0.222222222222222,0.347826086956522,5
"hr","rad",321.38,570.83616,0.75,0.166666666666667,0.272727272727273,4
"wind","rain",5.56,4,0.75,0.333333333333333,0.461538461538462,8
"wind","rad",0,0,0,0,0,0
"rain","rad",3,550.841,0.75,0.333333333333333,0.461538461538462,8
"tmin","tmax",38.3125,78.05,0.833333333333333,0.277777777777778,0.416666666666667,6
